,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty
187,117.84,117.94,117.73,115.13,114.43,111.23,109.88,103.42
188,117.71,117.79,117.76,115.42,114.69,111.47,110.16,103.66
189,117.83,117.72,117.88,115.88,114.97,111.72,110.43,103.89
190,117.81,117.77,117.75,116.21,115.2,111.94,110.72,104.12
191,117.83,117.77,117.65,116.46,115.44,112.17,110.96,104.35
192,117.78,117.9,117.8,116.7,115.73,112.43,111.24,104.6
193,117.7,117.86,117.9,116.85,116.15,112.71,111.49,104.83
194,117.91,117.9,118.1,117.05,116.52,112.96,111.74,105.05
195,118.52,118.41,118.43,117.39,116.92,113.3,112.03,105.3
196,119.51,119.29,119.0,117.75,117.38,113.73,112.37,105.57
197,120.59,120.26,119.77,118.2,117.79,114.15,112.73,105.83
198,121.74,121.34,120.67,118.72,118.25,114.68,113.12,106.1
199,122.82,122.26,121.48,119.23,118.68,115.18,113.48,106.35
200,123.88,123.23,122.28,119.69,119.02,115.68,113.82,106.61
201,124.72,124.1,122.97,120.14,119.37,116.09,114.16,106.87
202,125.56,124.87,123.71,120.49,119.76,116.48,114.5,107.11
203,126.42,125.74,124.54,120.91,120.22,116.85,114.88,107.38
204,127.0,126.59,125.35,121.27,120.65,117.21,115.24,107.63
205,127.1,127.0,126.04,121.6,121.07,117.5,115.58,107.89
206,127.01,127.02,126.6,121.97,121.38,117.77,115.94,108.14
207,126.72,126.86,126.82,122.28,121.69,118.08,116.27,108.36
208,126.38,126.44,126.63,122.53,121.86,118.37,116.64,108.58
209,125.47,125.62,125.94,122.53,121.87,118.56,116.92,108.76
210,124.97,125.08,125.4,122.61,122.03,118.78,117.24,108.96
211,124.3,124.49,124.83,122.71,122.12,118.98,117.49,109.14
212,123.58,123.96,124.32,122.84,122.24,119.2,117.72,109.34
213,123.03,123.54,124.08,123.07,122.38,119.55,117.97,109.57
214,122.49,122.94,123.74,123.25,122.48,119.82,118.16,109.77
215,122.24,122.65,123.47,123.49,122.69,120.08,118.36,109.98
216,121.99,122.34,123.06,123.72,122.88,120.3,118.53,110.2
217,121.93,122.13,122.76,123.95,123.08,120.47,118.75,110.41
218,122.42,122.06,122.5,124.13,123.28,120.65,118.98,110.62
219,122.81,122.69,122.47,124.38,123.52,120.87,119.25,110.85
220,123.57,123.23,122.72,124.66,123.85,121.07,119.53,111.09
221,124.36,124.01,123.49,124.86,124.2,121.33,119.82,111.34
222,124.89,124.72,124.02,124.93,124.52,121.59,120.12,111.59
223,125.78,125.41,124.85,125.05,124.9,121.92,120.52,111.86
224,126.18,125.97,125.42,125.03,125.17,122.17,120.84,112.09
225,126.59,126.25,125.72,125.03,125.3,122.42,121.11,112.33
226,126.6,126.28,125.84,124.89,125.21,122.55,121.3,112.52
227,126.51,126.18,125.7,124.75,125.06,122.67,121.42,112.71
228,126.5,126.36,125.85,124.71,124.95,122.8,121.6,112.91
229,125.96,126.06,125.74,124.5,124.79,122.87,121.74,113.06
230,125.3,125.57,125.65,124.27,124.63,122.98,121.82,113.25
231,124.92,125.22,125.6,124.18,124.57,123.12,121.97,113.48
232,124.2,124.79,125.32,124.07,124.49,123.25,122.13,113.72
233,123.27,123.71,124.6,123.83,124.22,123.25,122.22,113.89
234,121.95,122.44,123.52,123.49,123.78,123.17,122.22,114.03
235,121.13,121.37,122.35,123.39,123.42,123.13,122.25,114.18
236,120.42,120.62,121.38,123.18,123.08,123.11,122.23,114.32
237,119.85,120.37,120.8,123.17,122.89,123.16,122.29,114.48
238,119.61,119.86,120.51,123.13,122.76,123.21,122.31,114.64
239,119.59,119.84,120.46,123.08,122.86,123.29,122.36,114.83
240,119.25,119.77,120.16,123.05,122.86,123.38,122.44,115.01
241,119.29,119.73,120.32,123.05,122.99,123.51,122.55,115.23
242,119.71,119.67,120.4,123.04,123.06,123.6,122.65,115.43
243,120.54,119.99,120.23,123.01,123.04,123.68,122.71,115.65
244,121.26,120.75,120.15,122.99,123.05,123.74,122.76,115.87
245,121.99,121.4,120.43,122.89,123.0,123.73,122.85,116.07
246,122.41,122.15,121.15,122.76,123.02,123.68,122.95,116.27
247,122.63,122.37,121.63,122.53,122.97,123.58,123.03,116.46
248,122.52,122.45,122.03,122.26,122.89,123.43,123.09,116.62
249,122.57,122.46,122.2,121.94,122.79,123.33,123.15,116.79
250,122.75,122.88,122.67,121.87,122.74,123.31,123.29,117.01
251,123.02,123.02,122.97,121.81,122.66,123.29,123.43,117.19
252,123.28,123.2,123.26,121.86,122.55,123.27,123.53,117.39
253,123.78,123.66,123.51,122.04,122.45,123.26,123.68,117.58
254,124.34,124.17,123.9,122.15,122.45,123.25,123.81,117.78
255,125.05,124.91,124.53,122.45,122.56,123.31,123.93,117.98
256,126.06,125.65,125.23,122.79,122.81,123.41,124.01,118.19
257,127.0,126.38,125.79,122.98,123.04,123.49,124.05,118.39
258,127.98,127.37,126.38,123.25,123.23,123.62,124.09,118.61
259,128.67,128.37,127.2,123.74,123.56,123.88,124.17,118.83
260,129.32,128.93,128.07,124.36,123.86,124.08,124.24,119.03
261,130.23,129.69,129.0,125.01,124.15,124.33,124.36,119.26
262,130.76,130.4,129.52,125.62,124.42,124.56,124.46,119.48
263,131.39,131.02,130.18,126.14,124.89,124.76,124.55,119.72
264,131.89,131.71,130.99,126.7,125.54,125.01,124.66,119.95
265,132.17,132.06,131.52,127.15,126.12,125.2,124.77,120.18
266,132.51,132.2,131.92,127.57,126.67,125.38,124.87,120.41
267,132.86,132.65,132.24,127.95,127.13,125.59,125.01,120.64
268,133.15,133.03,132.53,128.39,127.62,125.81,125.19,120.91
269,133.76,133.51,133.14,128.94,128.11,126.05,125.49,121.2
270,134.24,134.11,133.69,129.51,128.64,126.25,125.75,121.5
271,134.74,134.46,134.07,130.04,129.06,126.42,126.02,121.76
272,134.91,134.75,134.37,130.47,129.45,126.56,126.25,121.99
273,134.86,134.83,134.47,130.93,129.84,126.64,126.44,122.2
274,134.88,134.74,134.61,131.43,130.21,126.76,126.63,122.4
275,134.96,134.71,134.6,131.86,130.56,126.89,126.78,122.57
276,134.63,134.55,134.29,132.06,130.8,127.04,126.91,122.72
277,134.51,134.51,134.28,132.37,131.18,127.25,127.08,122.91
278,134.03,134.29,134.28,132.66,131.56,127.4,127.23,123.11
279,133.65,134.02,134.28,132.92,131.96,127.64,127.38,123.31
280,133.14,133.47,134.06,133.08,132.17,127.83,127.46,123.49
281,132.76,132.96,133.62,133.13,132.37,127.97,127.51,123.67
282,132.15,132.35,132.9,133.04,132.5,128.07,127.53,123.82
283,131.75,131.93,132.36,133.07,132.6,128.29,127.52,124.02
284,131.52,131.69,132.05,133.09,132.71,128.61,127.58,124.21
285,131.43,131.38,131.72,133.02,132.71,128.89,127.64,124.37
286,130.92,131.16,131.31,132.92,132.64,129.14,127.72,124.51
287,130.67,130.85,131.06,132.81,132.67,129.35,127.85,124.64
288,130.48,130.82,131.17,132.82,132.72,129.59,127.97,124.79
289,130.53,130.66,131.08,132.78,132.73,129.8,128.14,124.94
290,130.74,130.81,131.15,132.74,132.8,130.04,128.33,125.08
291,131.25,130.99,131.1,132.73,132.81,130.23,128.48,125.23
292,131.61,131.45,131.22,132.76,132.85,130.43,128.64,125.38
293,132.32,132.21,131.73,132.9,132.99,130.73,128.94,125.58
294,133.22,132.9,132.52,133.04,133.11,131.04,129.33,125.77
295,134.15,133.61,133.12,133.06,133.23,131.33,129.68,125.96
296,134.86,134.4,133.57,133.03,133.37,131.59,130.02,126.13
297,135.33,135.01,134.09,133.02,133.46,131.88,130.29,126.29
298,135.95,135.59,134.85,133.14,133.57,132.22,130.59,126.45
299,136.43,136.12,135.47,133.28,133.6,132.54,130.86,126.61
300,137.04,136.66,136.02,133.47,133.65,132.8,131.15,126.79
301,137.8,137.35,136.67,133.74,133.77,133.09,131.41,126.98
302,138.42,138.33,137.48,134.21,134.04,133.46,131.75,127.2
303,139.02,138.93,138.34,134.6,134.36,133.78,132.1,127.4
304,139.82,139.55,139.27,135.06,134.72,134.12,132.46,127.61
305,140.71,140.3,139.86,135.47,135.1,134.41,132.83,127.84
306,141.51,141.0,140.31,135.92,135.52,134.66,133.16,128.05
307,142.52,142.05,141.12,136.52,135.97,135.01,133.58,128.3
308,143.33,142.76,141.83,137.15,136.39,135.3,133.98,128.53
