,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
71,110.31,110.17,109.92,108.72,108.46,107.08,106.49,0.0,1.2000000000000028,0.9061916951224511,0.2938083048775517,1.081
72,110.78,110.62,110.34,109.01,108.73,107.3,106.69,0.0,1.3299999999999983,0.9909533560979606,0.33904664390203765,1.066
73,111.01,110.86,110.59,109.23,108.94,107.48,106.86,0.0,1.3599999999999994,1.0647626848783684,0.295237315121631,1.054
74,111.33,111.18,110.9,109.48,109.18,107.68,107.05,0.0,1.4200000000000017,1.1358101479026952,0.2841898520973065,1.048
75,111.8,111.63,111.33,109.79,109.47,107.91,107.27,0.0,1.539999999999992,1.2166481183221547,0.32335188167783735,1.048
76,112.05,111.89,111.6,110.03,109.7,108.11,107.46,0.0,1.5699999999999932,1.2873184946577225,0.28268150534227066,1.048
77,111.59,111.5,111.32,110.01,109.7,108.18,107.54,0.0,1.309999999999988,1.2918547957261757,0.018145204273812388,1.045
78,111.47,111.41,111.27,110.08,109.78,108.29,107.65,0.0,1.1899999999999977,1.2714838365809402,-0.08148383658094249,1.056
79,111.35,111.32,111.21,110.14,109.85,108.39,107.76,0.0,1.0699999999999932,1.2311870692647509,-0.16118706926475768,1.051
80,110.93,110.95,110.91,110.08,109.81,108.42,107.81,0.0,0.8299999999999983,1.1509496554118004,-0.3209496554118021,1.046
81,110.27,110.34,110.4,109.9,109.67,108.39,107.8,0.0,0.5,1.0207597243294404,-0.5207597243294404,1.045
82,109.5,109.63,109.79,109.64,109.46,108.31,107.75,0.0,0.15000000000000568,0.8466077794635535,-0.6966077794635478,1.074
83,109.12,109.26,109.46,109.49,109.34,108.28,107.75,0.0,-0.030000000000001137,0.6712862235708426,-0.7012862235708437,1.087
84,108.94,109.07,109.27,109.4,109.27,108.28,107.77,0.0,-0.13000000000000966,0.5110289788566722,-0.6410289788566819,1.071
85,108.85,108.96,109.15,109.33,109.22,108.29,107.79,0.0,-0.1799999999999926,0.37282318308533924,-0.5528231830853318,1.084
86,108.71,108.81,109.0,109.24,109.15,108.28,107.8,0.0,-0.23999999999999488,0.2502585464682724,-0.4902585464682673,1.073
87,108.47,108.58,108.77,109.11,109.05,108.25,107.79,0.0,-0.3400000000000034,0.13220683717461723,-0.47220683717462064,1.062
88,108.36,108.46,108.64,109.02,108.98,108.24,107.79,0.0,-0.37999999999999545,0.029765469739694697,-0.40976546973969014,1.064
89,108.12,108.23,108.42,108.88,108.86,108.2,107.77,0.0,-0.45999999999999375,-0.068187624208243,-0.39181237579175077,1.045
90,107.86,107.97,108.17,108.73,108.73,108.15,107.74,0.0,-0.5600000000000023,-0.16655009936659487,-0.3934499006334074,1.063
91,107.55,107.67,107.89,108.55,108.57,108.08,107.69,0.0,-0.6599999999999966,-0.2652400794932752,-0.3947599205067214,1.059
92,107.34,107.46,107.68,108.4,108.44,108.02,107.65,0.0,-0.7199999999999989,-0.35619206359461997,-0.3638079364053789,1.071
93,107.28,107.38,107.58,108.3,108.35,107.98,107.63,0.0,-0.7199999999999989,-0.4289536508756957,-0.29104634912430316,1.073
94,107.18,107.27,107.46,108.19,108.25,107.93,107.6,0.0,-0.730000000000004,-0.4891629207005574,-0.2408370792994466,1.065
95,107.23,107.3,107.46,108.14,108.2,107.91,107.6,0.0,-0.6800000000000068,-0.5273303365604473,-0.15266966343955957,1.082
96,107.25,107.31,107.44,108.08,108.14,107.89,107.59,0.0,-0.6400000000000006,-0.549864269248358,-0.0901357307516426,1.066
97,107.56,107.58,107.65,108.13,108.18,107.92,107.63,0.0,-0.47999999999998977,-0.5358914153986843,0.05589141539869458,1.061
98,107.84,107.83,107.85,108.19,108.23,107.96,107.67,0.0,-0.3400000000000034,-0.49671313231894815,0.15671313231894474,1.048
99,107.89,107.88,107.89,108.18,108.22,107.97,107.68,0.0,-0.29000000000000625,-0.4553705058551598,0.16537050585515356,1.024
100,107.97,107.95,107.95,108.19,108.22,107.98,107.7,0.0,-0.23999999999999488,-0.41229640468412687,0.172296404684132,1.018
101,107.87,107.86,107.87,108.14,108.17,107.96,107.69,0.0,-0.269999999999996,-0.3838371237473007,0.1138371237473047,1.014
102,107.97,107.95,107.94,108.16,108.18,107.98,107.71,0.0,-0.21999999999999886,-0.35106969899784035,0.1310696989978415,1.016
103,107.93,107.92,107.92,108.13,108.15,107.97,107.71,0.0,-0.20999999999999375,-0.32285575919827103,0.11285575919827728,0.998
104,108.01,107.99,107.98,108.14,108.16,107.98,107.73,0.0,-0.1599999999999966,-0.29028460735861616,0.13028460735861958,0.982
105,108.1,108.07,108.05,108.16,108.18,108.0,107.75,0.0,-0.10999999999999943,-0.2542276858868928,0.1442276858868934,0.975
106,108.38,108.33,108.27,108.26,108.26,108.06,107.81,0.0,0.009999999999990905,-0.2013821487095161,0.211382148709507,0.959
107,108.53,108.47,108.4,108.32,108.31,108.1,107.85,0.0,0.0800000000000125,-0.14510571896761038,0.22510571896762288,0.955
108,108.92,108.83,108.72,108.48,108.45,108.19,107.94,0.0,0.23999999999999488,-0.06808457517408933,0.3080845751740842,0.971
109,109.18,109.08,108.95,108.61,108.56,108.27,108.02,0.0,0.3400000000000034,0.013532339860729214,0.3264676601392742,0.973
110,109.6,109.48,109.31,108.81,108.74,108.39,108.13,0.0,0.5,0.11082587188858338,0.3891741281114166,0.959
111,110.0,109.87,109.66,109.02,108.93,108.52,108.24,0.0,0.6400000000000006,0.2166606975108668,0.42333930248913376,0.954
112,110.17,110.05,109.84,109.15,109.05,108.61,108.33,0.0,0.6899999999999977,0.31132855800869297,0.37867144199130476,0.971
113,109.9,109.83,109.69,109.13,109.04,108.62,108.35,0.0,0.5600000000000023,0.36106284640695485,0.19893715359304742,0.952
114,110.35,110.25,110.07,109.35,109.24,108.76,108.47,0.0,0.7199999999999989,0.4328502771255637,0.2871497228744352,0.964
115,110.29,110.21,110.07,109.4,109.29,108.81,108.52,0.0,0.6699999999999875,0.4802802217004485,0.189719778299539,0.983
116,110.49,110.41,110.26,109.54,109.42,108.91,108.61,0.0,0.7199999999999989,0.5282241773603585,0.19177582263964033,0.987
117,110.91,110.8,110.62,109.76,109.62,109.05,108.74,0.0,0.8599999999999994,0.5945793418882868,0.26542065811171267,0.986
118,111.31,111.18,110.97,109.99,109.83,109.2,108.88,0.0,0.980000000000004,0.6716634735106303,0.3083365264893737,0.985
119,111.64,111.5,111.27,110.21,110.03,109.35,109.01,0.0,1.0600000000000023,0.7493307788085046,0.31066922119149765,0.957
