,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
65,87.9,87.89,87.85,87.0,86.59,83.74,82.49,0.0,0.8499999999999943,1.1309835089790858,-0.2809835089790915,0.396
66,88.18,88.15,88.07,87.17,86.77,83.96,82.71,0.0,0.8999999999999915,1.0847868071832671,-0.18478680718327567,0.369
67,88.39,88.34,88.25,87.32,86.93,84.17,82.92,0.0,0.9300000000000068,1.053829445746615,-0.12382944574660826,0.356
68,88.62,88.56,88.45,87.48,87.1,84.38,83.14,0.0,0.9699999999999989,1.0370635565972919,-0.06706355659729302,0.353
69,88.88,88.81,88.68,87.66,87.28,84.6,83.36,0.0,1.0200000000000102,1.0336508452778355,-0.01365084527782523,0.346
70,88.99,88.92,88.79,87.79,87.42,84.79,83.56,0.0,1.0,1.0269206762222685,-0.026920676222268458,0.337
71,89.04,88.98,88.86,87.9,87.54,84.97,83.75,0.0,0.9599999999999937,1.0135365409778136,-0.0535365409778199,0.326
72,89.37,89.29,89.14,88.11,87.74,85.19,83.98,0.0,1.0300000000000011,1.0168292327822512,0.013170767217749901,0.325
73,90.07,89.94,89.72,88.46,88.07,85.49,84.27,0.0,1.2600000000000051,1.065463386225802,0.19453661377420306,0.325
74,90.63,90.47,90.2,88.79,88.38,85.78,84.55,0.0,1.4099999999999966,1.134370708980641,0.2756292910193556,0.323
75,91.38,91.18,90.84,89.2,88.77,86.12,84.87,0.0,1.6400000000000006,1.2354965671845128,0.40450343281548773,0.311
76,92.15,91.91,91.51,89.65,89.19,86.48,85.21,0.0,1.8599999999999994,1.3603972537476103,0.4996027462523891,0.323
77,92.92,92.66,92.2,90.12,89.63,86.85,85.56,0.0,2.0799999999999983,1.504317802998088,0.5756821970019104,0.319
78,93.61,93.33,92.84,90.58,90.06,87.22,85.91,0.0,2.260000000000005,1.6554542423984715,0.6045457576015336,0.324
79,94.22,93.94,93.43,91.03,90.49,87.59,86.26,0.0,2.4000000000000057,1.8043633939187784,0.5956366060812273,0.316
